Sol,logS,logP,MP,InChI
-11.548795836881473,-3.614,2.77,82.0,"InChI=1S/C14H16ClN3O2/c1-14(2,3)12(19)13(18-9-16-8-17-18)20-11-6-4-10(15)5-7-11/h4-9,13H,1-3H3"
-9.980533585389807,0.622,0.88,105.0,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H"
-4.7736958791171515,-2.194,3.08,61.5,"InChI=1S/C10H14O/c1-3-8(2)9-4-6-10(11)7-5-9/h4-8,11H,3H2,1-2H3"
-8.825108131211955,0.79,1.17,-79.0,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1"
-3.1760133873682164,-3.782,2.88,54.0,"InChI=1S/C12H18O4S2/c1-7(2)15-10(13)9(11(14)16-8(3)4)12-17-5-6-18-12/h7-8H,5-6H2,1-4H3"
-1.7879668833758875,-1.065,1.48,-35.5,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2
-4.876058082806893,1.045,-0.21,-58.0,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3"
0.3333036970231998,-6.46,6.3,-36.0,"InChI=1S/C14H22/c1-2-3-4-5-6-8-11-14-12-9-7-10-13-14/h7,9-10,12-13H,2-6,8,11H2,1H3"
-0.9442203350118364,-3.103,3.63,-62.3,"InChI=1S/C9H12/c1-3-9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3"
-4.838872903985863,0.15712500000000004,1.78,-6.6,"InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3"
-2.368375697508022,-1.266,1.78,-98.875,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3"
-5.7143245219068985,-5.4670000000000005,4.3,98.0,"InChI=1S/C11H13F3N4O4/c1-3-16(4-2)9-7(17(19)20)5-6(11(12,13)14)8(15)10(9)18(21)22/h5H,3-4,15H2,1-2H3"
-15.491925260251605,-6.2929999999999975,4.3,161.0,"InChI=1S/C16H18N4O3/c1-2-19(11-12-21)15-7-3-13(4-8-15)17-18-14-5-9-16(10-6-14)20(22)23/h3-10,21H,2,11-12H2,1H3"
-7.652384665401358,-2.497,2.78,31.5,"InChI=1S/C12H17NO2/c1-4-9(2)10-7-5-6-8-11(10)15-12(14)13-3/h5-9H,4H2,1-3H3,(H,13,14)"
-5.472426585227297,0.22,0.4,-23.0,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3"
-13.20842000799452,-5.913333306333332,4.82,130.0,"InChI=1S/C19H21ClN2O/c20-16-12-10-15(11-13-16)14-22(18-8-4-5-9-18)19(23)21-17-6-2-1-3-7-17/h1-3,6-7,10-13,18H,4-5,8-9,14H2,(H,21,23)"
0.2672962442294942,-4.81,4.7,-48.11749999999999,"InChI=1S/C7H15I/c1-2-3-4-5-6-7-8/h2-7H2,1H3"
