SMILES,InChI,HL,Sol,RB,MW
CC1=CCC2CC1C2(C)C,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",0.134,1.006102617,0,136.1252005
C1Cc2cccc3cccc1c23,"InChI=1S/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H,7-8H2",0.000184,-2.893172582,0,154.0782503
CCCCOC(=O)c1ccccc1C(=O)OCCCC,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",1.81E-06,-5.627485514,8,278.1518092
c1cc2ccccc2c2ccccc21,InChI=1S/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H,4.23E-05,-3.762966327,0,178.0782503
[O-][N+](=O)c1cccc2ccccc21,InChI=1S/C10H7NO2/c12-11(13)10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,1.76E-06,-5.644059051,1,173.0476785
C1c2ccccc2-c2ccccc21,"InChI=1S/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2",9.62E-05,-3.276852696,0,166.0782503
c1cccc2[nH]c3ccccc3c21,"InChI=1S/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H",1.16E-07,-7.253002269,0,167.0734993
Clc1c(Cl)cccc1Cl,InChI=1S/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H,0.00125,-1.759618725,0,179.9300331
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,InChI=1S/C4Cl6/c5-1(3(7)8)2(6)4(9)10,0.0103,-0.511856956,1,257.8131161
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,InChI=1S/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H,2.45E-08,-8.172948103,0,263.8470031
Cc1ccccc1[N+]([O-])=O,"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",1.25E-05,-4.484205905,1,137.0476785
[O-][N+](=O)c1ccccc1Cl,InChI=1S/C6H4ClNO2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,9.30E-06,-4.659161272,1,156.993056
Nc1ccccc1[N+]([O-])=O,"InChI=1S/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2",5.90E-08,-7.652979811,1,138.0429274
[O-][N+](=O)c1ccccc1O,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",1.28E-05,-4.470174341,1,139.026943
[O-][N+](=O)c1cc(Cl)ccc1Cl,InChI=1S/C6H3Cl2NO2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,1.20E-05,-4.508357691,1,190.9540837
COc1ccccc1O,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",1.20E-06,-5.870651281,1,124.0524295
Cc1cccc2ccccc21,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3",0.000514,-2.285391705,0,142.0782503
Clc1cccc2ccccc21,InChI=1S/C10H7Cl/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,0.000355,-2.504359647,0,162.0236279
Oc1cccc2ccccc21,"InChI=1S/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H",6.00E-08,-7.643036105,0,144.0575149
COc1cccc(OC)c1O,"InChI=1S/C8H10O3/c1-10-6-4-3-5-7(11-2)8(6)9/h3-5,9H,1-2H3",2.31E-07,-6.845466706,2,154.0629942
c1cccc2ccccc21,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H,0.00044,-2.377360748,0,128.0626003
Cc1cc2ccccc2cc1,"InChI=1S/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3",0.000518,-2.280805352,0,142.0782503
Clc1cc2ccccc2cc1,InChI=1S/C10H7Cl/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,0.00032,-2.565769628,0,162.0236279
Nc1cc2ccccc2cc1,"InChI=1S/C10H9N/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,11H2",8.10E-08,-7.465483247,0,143.0734993
