SMILES,InChI,LogS,LogVP,Sol,RB,MW
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,InChI=1S/C12H2Cl8/c13-3-1-4(14)10(18)7(9(3)17)8-11(19)5(15)2-6(16)12(8)20/h1-2H,-9.466,-5.4056,-0.28424893874744755,1,425.766471504
Clc1cc2Oc3c(Oc2cc1)c(Cl)c(Cl)c(Cl)c3Cl,InChI=1S/C12H3Cl5O2/c13-4-1-2-5-6(3-4)19-12-10(17)8(15)7(14)9(16)11(12)18-5/h1-3H,-9.473,-9.1805,-5.4163102010328785,0,353.857567736
Clc1cc2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2cc1,InChI=1S/C12H4Cl4O2/c13-5-1-2-7-8(3-5)17-9-4-6(14)10(15)11(16)12(9)18-7/h1-4H,-8.874,-8.1249,-4.794399011150046,0,319.896540088
Clc1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,InChI=1S/C12H4Cl4O2/c13-5-1-9-10(2-6(5)14)18-12-4-8(16)7(15)3-11(12)17-9/h1-4H,-9.207,-8.8239,-5.292908637731553,0,319.896540088
Clc1c2Oc3ccccc3Oc2c(Cl)c(Cl)c1Cl,InChI=1S/C12H4Cl4O2/c13-7-8(14)10(16)12-11(9(7)15)17-5-3-1-2-4-6(5)18-12/h1-4H,-8.708,-7.3188,-3.922551983896426,0,319.896540088
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,InChI=1S/C12H4Cl6/c13-5-1-7(15)11(8(16)2-5)12-9(17)3-6(14)4-10(12)18/h1-4H,-8.947,-4.9208,-0.33083098582145687,1,357.844416208
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1Cl,InChI=1S/C12H4Cl6/c13-6-1-2-7(14)12(18)11(6)5-3-9(16)10(17)4-8(5)15/h1-4H,-7.93,-5.0742,-1.9249721523542385,1,357.844416208
Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)c1Cl,InChI=1S/C12H4Cl6/c13-7-2-1-5(11(17)12(7)18)6-3-9(15)10(16)4-8(6)14/h1-4H,-8.381,-5.4208,-1.7827743244441039,1,357.844416208
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,InChI=1S/C12H4Cl6/c13-7-3-1-5(9(15)11(7)17)6-2-4-8(14)12(18)10(6)16/h1-4H,-9.013,-5.5918,-1.1548701226570102,1,357.844416208
Clc1cc(Cl)c(Cl)cc1-c1cc(Cl)c(Cl)cc1Cl,InChI=1S/C12H4Cl6/c13-7-3-11(17)9(15)1-5(7)6-2-10(16)12(18)4-8(6)14/h1-4H,-8.58,-5.4647,-1.5715206548189868,1,357.844416208
Clc1cc(Cl)c(Cl)c2Oc3ccccc3Oc12,InChI=1S/C12H5Cl3O2/c13-6-5-7(14)11-12(10(6)15)17-9-4-2-1-3-8(9)16-11/h1-5H,-7.534,-6.1249,-3.895447225511258,0,285.93551244
Clc1cc(Cl)c(cc1)-c1cc(Cl)c(Cl)cc1Cl,InChI=1S/C12H5Cl5/c13-6-1-2-7(9(14)3-6)8-4-11(16)12(17)5-10(8)15/h1-5H,-7.95,-4.6576,-1.3303019256725823,1,323.88338856
Clc1cc(-c2cc(Cl)c(Cl)cc2Cl)c(Cl)cc1,InChI=1S/C12H5Cl5/c13-6-1-2-9(14)7(3-6)8-4-11(16)12(17)5-10(8)15/h1-5H,-7.326,-4.5986,-2.0998591361057852,1,323.88338856
Clc1cc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)cc1,InChI=1S/C12H5Cl5/c13-6-1-3-9(14)8(5-6)7-2-4-10(15)12(17)11(7)16/h1-5H,-7.045,-4.7696,-2.715504904452346,1,323.88338856
Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1Cl,InChI=1S/C12H5Cl5/c13-8-2-1-6(3-10(8)15)7-4-11(16)12(17)5-9(7)14/h1-5H,-7.387,-5.047,-2.6275165933125506,1,323.88338856
